codcult,safra,datprev,e1,e2,e3,e4,e5,e6,e7
16,1,2010-09-16,1.8900000000000001,1.26,0.63,0.0,0.0,0.0,0.0
16,1,2010-10-08,0.13,0.0,0.0,0.0,0.0,0.0,0.0
16,1,2010-10-15,12.08,0.13,0.0,0.0,0.0,0.0,0.0
16,1,2010-10-22,47.4,12.08,0.13,0.0,0.0,0.0,0.0
16,1,2010-10-29,79.06,47.39,14.4,0.0,0.0,0.0,0.0
16,1,2010-11-05,97.17,79.07,47.4,0.0,0.0,0.0,0.0
16,1,2010-11-12,100.00999999999999,97.16999999999999,79.07,0.0,0.0,0.0,0.0
16,1,2010-11-19,100.0,100.0,97.16,0.0,0.0,0.0,0.0
16,1,2010-11-26,100.0,100.0,100.0,0.0,0.0,0.0,0.0
16,1,2010-12-03,100.0,100.0,100.0,0.0,0.0,0.0,0.0
16,1,2010-12-10,100.0,100.0,100.0,14.4,0.0,0.0,0.0
16,1,2010-12-17,100.0,100.0,100.0,45.93,0.0,0.0,0.0
16,1,2010-12-24,100.0,100.0,100.0,79.07,0.0,0.0,0.0
16,1,2010-12-31,100.0,100.0,100.0,79.07,0.0,0.0,0.0
16,1,2011-01-07,100.0,100.0,100.0,100.0,0.0,0.0,0.0
16,1,2011-01-14,100.0,100.0,100.0,100.0,14.4,0.0,0.0
16,1,2011-01-21,100.0,100.0,100.0,100.0,100.0,0.0,0.0
16,1,2011-01-28,100.0,100.0,100.0,100.0,100.0,0.0,0.0
16,1,2011-02-04,100.0,100.0,100.0,100.0,100.0,14.4,0.0
16,1,2011-02-11,100.0,100.0,100.0,100.0,100.0,14.4,0.0
16,1,2011-02-18,100.0,100.0,100.0,100.0,100.0,79.07000000000001,14.4
120,2,2011-03-04,18.45,7.28,7.28,0.0,0.0,0.0,0.0
120,2,2011-03-11,47.65,18.84,7.28,0.0,0.0,0.0,0.0
120,2,2011-03-18,83.71000000000001,47.65,18.84,0.0,0.0,0.0,0.0
120,2,2011-03-25,91.66,83.71000000000001,47.65,0.0,0.0,0.0,0.0
120,2,2011-04-01,97.0,91.65,79.39,0.0,0.0,0.0,0.0
120,2,2011-04-08,97.00999999999999,97.00999999999999,91.66,0.0,0.0,0.0,0.0
16,3,2011-09-30,0.66,0.0,0.0,0.0,0.0,0.0,0.0
16,3,2011-10-07,4.35,0.0,0.0,0.0,0.0,0.0,0.0
16,3,2011-10-13,4.3500000000000005,0.4,0.4,0.0,0.0,0.0,0.0
16,3,2011-10-21,30.770000000000003,4.35,4.35,0.0,0.0,0.0,0.0
16,3,2011-10-28,70.74,30.770000000000003,4.35,0.0,0.0,0.0,0.0
16,3,2011-11-04,99.21000000000001,70.73,30.76,0.0,0.0,0.0,0.0
16,3,2011-11-11,100.0,100.0,70.73,0.0,0.0,0.0,0.0
16,3,2011-11-18,100.0,100.0,100.0,0.0,0.0,0.0,0.0
16,3,2011-11-25,100.0,100.0,100.0,0.0,0.0,0.0,0.0
16,3,2011-12-02,100.0,100.0,100.0,0.0,0.0,0.0,0.0
16,3,2011-12-09,100.0,100.0,100.0,4.35,0.0,0.0,0.0
16,3,2011-12-16,100.0,100.0,100.0,24.11,4.35,0.0,0.0
16,3,2011-12-23,100.0,100.0,100.0,24.11,4.35,0.0,0.0
16,3,2011-12-30,100.0,100.0,100.0,24.11,4.35,0.0,0.0
16,3,2012-01-06,100.01,100.01,100.01,25.369999999999997,5.01,0.0,0.0
16,3,2012-01-13,100.0,100.0,100.0,100.0,25.36,0.0,0.0
16,3,2012-01-20,100.0,100.0,100.0,100.0,70.73,5.01,0.0
16,3,2012-01-27,100.0,100.0,100.0,100.0,100.0,5.01,0.0
16,3,2012-02-03,100.0,100.0,100.0,100.0,100.0,5.01,0.0
120,4,2012-02-17,3.88,0.0,0.0,0.0,0.0,0.0,0.0
120,4,2012-02-24,9.04,4.17,4.17,0.0,0.0,0.0,0.0
120,4,2012-03-02,26.84,13.42,13.42,0.0,0.0,0.0,0.0
