safra,codest,codcult,area,datprev,colheita(%)
1,8,16,1195,2011-02-25,7.5
1,8,16,3710,2011-03-04,23.4
1,8,16,8340,2011-03-11,52.6
1,8,16,14524,2011-03-18,91.6
1,8,16,15637,2011-03-25,98.6
1,8,16,15810,2011-04-01,99.7
1,8,16,15860,2011-04-08,100.0
3,8,16,48,2012-02-10,0.3
3,8,16,490,2012-02-17,3.2
3,8,16,1931,2012-02-24,12.7
3,8,16,4726,2012-03-02,31.1
3,8,16,12403,2012-03-09,81.7
3,8,16,14947,2012-03-16,98.5
3,8,16,15086,2012-03-23,99.4
3,8,16,15180,2012-03-30,100.0
3,8,16,15180,2012-04-05,100.0
3,8,16,15180,2012-04-13,100.0
5,8,16,190,2013-02-01,1.3
5,8,16,685,2013-02-08,4.7
5,8,16,885,2013-02-15,6.1
5,8,16,3770,2013-02-22,26.0
5,8,16,8330,2013-03-01,57.4
5,8,16,12050,2013-03-08,83.0
5,8,16,13254,2013-03-15,91.3
5,8,16,13774,2013-03-22,94.8
5,8,16,14304,2013-03-29,98.5
5,8,16,14524,2013-04-05,100.0
5,8,16,14524,2013-04-12,100.0
5,8,16,14524,2013-04-19,100.0
5,8,16,14524,2013-04-26,100.0
7,8,16,190,2014-01-31,1.3
7,8,16,690,2014-02-07,4.8
7,8,16,2000,2014-02-14,13.9
7,8,16,5974,2014-02-21,41.6
7,8,16,8035,2014-02-28,55.9
7,8,16,11759,2014-03-07,81.9
7,8,16,13733,2014-03-14,95.6
7,8,16,14083,2014-03-21,98.1
7,8,16,14163,2014-03-28,98.6
7,8,16,14363,2014-04-04,100.0
7,8,16,14363,2014-04-11,100.0
7,8,16,14363,2014-04-18,100.0
9,8,16,120,2015-02-09,0.8
9,8,16,610,2015-02-16,4.3
9,8,16,1347,2015-02-23,9.4
9,8,16,3855,2015-03-02,27.0
9,8,16,5700,2015-03-09,40.0
9,8,16,10116,2015-03-16,70.9
9,8,16,13265,2015-03-23,93.0
9,8,16,14163,2015-03-30,99.3
9,8,16,14263,2015-04-06,100.0
9,8,16,14263,2015-04-13,100.0
9,8,16,14263,2015-04-20,100.0
11,8,16,80,2016-01-25,0.6
11,8,16,557,2016-02-01,4.3
11,8,16,2057,2016-02-08,15.9
11,8,16,5674,2016-02-15,43.8
11,8,16,7900,2016-02-22,60.9
11,8,16,7950,2016-02-29,61.3
11,8,16,11672,2016-03-07,90.0
11,8,16,12187,2016-03-14,94.0
11,8,16,12923,2016-03-21,99.6
11,8,16,12969,2016-03-28,100.0
11,8,16,12969,2016-04-04,100.0
11,8,16,12969,2016-04-11,100.0
11,8,16,12969,2016-04-18,100.0
13,8,16,160,2017-02-06,0.9
13,8,16,2138,2017-02-13,11.6
13,8,16,5775,2017-02-20,31.4
13,8,16,11486,2017-02-27,62.4
13,8,16,15429,2017-03-06,83.8
13,8,16,17712,2017-03-13,96.3
13,8,16,18218,2017-03-20,99.0
13,8,16,18402,2017-03-27,100.0
13,8,16,18402,2017-04-03,100.0
13,8,16,18402,2017-04-10,100.0
13,8,16,18402,2017-04-17,100.0
13,8,16,18402,2017-04-24,100.0
15,8,16,19,2018-02-12,0.1
15,8,16,258,2018-02-19,2.0
15,8,16,3769,2018-02-26,29.7
15,8,16,8012,2018-03-05,63.2
15,8,16,11834,2018-03-12,93.4
15,8,16,12604,2018-03-19,99.4
15,8,16,12674,2018-03-26,100.0
15,8,16,12674,2018-04-02,100.0
15,8,16,12674,2018-04-09,100.0
15,8,16,12674,2018-04-16,100.0
15,8,16,12674,2018-04-23,100.0
17,8,16,484,2019-01-28,3.8
17,8,16,2279,2019-02-04,18.1
17,8,16,5069,2019-02-11,40.3
17,8,16,7067,2019-02-18,56.2
17,8,16,10635,2019-02-25,84.6
17,8,16,11963,2019-03-04,95.1
17,8,16,12089,2019-03-11,96.1
17,8,16,12497,2019-03-18,99.4
17,8,16,12557,2019-03-25,99.8
17,8,16,12577,2019-04-01,100.0
17,8,16,12577,2019-04-08,100.0
17,8,16,12577,2019-04-15,100.0
19,8,16,72,2020-02-10,0.8
19,8,16,2730,2020-02-17,28.8
19,8,16,5274,2020-02-24,55.6
19,8,16,9489,2020-03-02,100.0
0,8,18,30,2010-08-06,0.9
0,8,18,88,2010-08-13,2.7
0,8,18,600,2010-08-20,18.3
0,8,18,2014,2010-08-27,61.3
0,8,18,2485,2010-09-03,75.6
0,8,18,3043,2010-09-10,92.6
0,8,18,3185,2010-09-16,97.0
0,8,18,3285,2010-09-24,100.0
0,8,18,3285,2010-10-01,100.0
2,8,18,200,2011-08-19,8.1
2,8,18,360,2011-08-26,14.5
2,8,18,1380,2011-09-02,55.8
2,8,18,2055,2011-09-09,83.0
2,8,18,2225,2011-09-16,89.9
2,8,18,2475,2011-09-23,100.0
2,8,18,2475,2011-09-30,100.0
4,8,18,140,2012-08-10,9.6
4,8,18,424,2012-08-17,29.1
4,8,18,1024,2012-08-24,70.4
4,8,18,1232,2012-08-31,84.7
4,8,18,1425,2012-09-06,97.9
4,8,18,1455,2012-09-14,100.0
4,8,18,1455,2012-09-21,100.0
4,8,18,1455,2012-09-28,100.0
6,8,18,100,2013-08-23,7.0
6,8,18,150,2013-08-30,10.5
6,8,18,260,2013-09-06,18.2
6,8,18,740,2013-09-13,51.7
6,8,18,880,2013-09-20,61.5
6,8,18,1330,2013-09-27,93.0
6,8,18,1430,2013-10-04,100.0
6,8,18,1430,2013-10-11,100.0
8,8,18,50,2014-08-08,2.5
8,8,18,200,2014-08-15,10.0
8,8,18,600,2014-08-22,30.0
8,8,18,1268,2014-08-29,63.3
8,8,18,1782,2014-09-05,89.0
8,8,18,1948,2014-09-12,97.3
8,8,18,2003,2014-09-19,100.0
8,8,18,2003,2014-09-26,100.0
8,8,18,2003,2014-10-03,100.0
8,8,18,2003,2014-10-10,100.0
10,8,18,12,2015-08-10,0.4
10,8,18,280,2015-08-17,9.5
10,8,18,1047,2015-08-24,35.6
10,8,18,1744,2015-08-31,59.3
10,8,18,2589,2015-09-07,88.1
10,8,18,2700,2015-09-14,91.8
10,8,18,2940,2015-09-21,100.0
10,8,18,2940,2015-09-28,100.0
10,8,18,2940,2015-10-05,100.0
10,8,18,2940,2015-10-12,100.0
10,8,18,2940,2015-10-19,100.0
10,8,18,2940,2015-10-26,100.0
12,8,18,70,2016-08-29,3.7
12,8,18,263,2016-09-05,14.0
12,8,18,352,2016-09-12,18.8
12,8,18,1517,2016-09-19,81.0
12,8,18,1781,2016-09-26,95.1
12,8,18,1872,2016-10-03,100.0
14,8,18,154,2017-08-14,9.8
14,8,18,154,2017-08-21,9.8
14,8,18,674,2017-08-28,42.7
14,8,18,1196,2017-09-04,75.8
14,8,18,1470,2017-09-11,93.2
14,8,18,1578,2017-09-18,100.0
14,8,18,1578,2017-09-25,100.0
14,8,18,1578,2017-10-02,100.0
14,8,18,1578,2017-10-09,100.0
14,8,18,1578,2017-10-16,100.0
16,8,18,15,2018-08-20,1.3
16,8,18,15,2018-08-27,1.3
16,8,18,115,2018-09-03,10.1
16,8,18,360,2018-09-10,31.6
16,8,18,647,2018-09-17,56.8
16,8,18,720,2018-09-24,63.2
16,8,18,1140,2018-10-01,100.0
16,8,18,1140,2018-10-08,100.0
16,8,18,1140,2018-10-15,100.0
16,8,18,1140,2018-10-22,100.0
16,8,18,1140,2018-10-29,100.0
16,8,18,1140,2018-11-05,100.0
16,8,18,1140,2018-11-12,100.0
16,8,18,1140,2018-11-19,100.0
18,8,18,125,2019-08-26,7.3
18,8,18,1320,2019-09-02,77.0
18,8,18,1505,2019-09-09,87.8
18,8,18,1715,2019-09-16,100.0
18,8,18,1715,2019-09-23,100.0
18,8,18,1715,2019-10-07,100.0
2,8,120,50,2011-07-15,0.5
2,8,120,50,2011-07-22,0.5
2,8,120,630,2011-07-29,6.3
2,8,120,650,2011-08-05,6.5
2,8,120,2470,2011-08-12,24.6
2,8,120,5970,2011-08-19,59.5
2,8,120,7131,2011-08-26,71.1
2,8,120,9060,2011-09-02,90.3
2,8,120,9630,2011-09-09,96.0
2,8,120,9781,2011-09-16,97.5
2,8,120,9981,2011-09-23,99.5
2,8,120,10031,2011-09-30,100.0
4,8,120,175,2012-07-20,1.7
4,8,120,635,2012-07-27,6.3
4,8,120,1370,2012-08-03,13.6
4,8,120,3300,2012-08-10,32.8
4,8,120,6220,2012-08-17,61.8
4,8,120,8900,2012-08-24,88.5
4,8,120,9629,2012-08-31,95.7
4,8,120,9960,2012-09-06,99.0
4,8,120,10060,2012-09-14,100.0
4,8,120,10060,2012-09-21,100.0
4,8,120,10060,2012-09-28,100.0
6,8,120,170,2013-07-12,1.5
6,8,120,990,2013-07-19,9.0
6,8,120,1180,2013-07-26,10.7
6,8,120,2960,2013-08-02,26.8
6,8,120,5917,2013-08-09,53.5
6,8,120,8534,2013-08-16,77.2
6,8,120,9880,2013-08-23,89.4
6,8,120,10500,2013-08-30,95.0
6,8,120,10830,2013-09-06,98.0
6,8,120,11050,2013-09-13,100.0
6,8,120,11050,2013-09-20,100.0
6,8,120,11050,2013-09-27,100.0
6,8,120,11050,2013-10-04,100.0
6,8,120,11050,2013-10-11,100.0
8,8,120,65,2014-06-27,0.6
8,8,120,200,2014-07-04,1.8
8,8,120,350,2014-07-11,3.1
8,8,120,860,2014-07-18,7.7
8,8,120,1892,2014-07-25,16.9
8,8,120,3213,2014-08-01,28.7
8,8,120,5762,2014-08-08,51.4
8,8,120,7412,2014-08-15,66.2
8,8,120,9497,2014-08-22,84.8
8,8,120,10164,2014-08-29,90.8
8,8,120,10607,2014-09-05,94.7
8,8,120,11170,2014-09-12,99.7
8,8,120,11200,2014-09-19,100.0
8,8,120,11200,2014-09-26,100.0
8,8,120,11200,2014-10-03,100.0
8,8,120,11200,2014-10-10,100.0
10,8,120,85,2015-07-20,1.1
10,8,120,220,2015-07-27,2.8
10,8,120,1161,2015-08-03,14.7
10,8,120,2729,2015-08-10,34.5
10,8,120,4392,2015-08-17,55.6
10,8,120,6361,2015-08-24,80.5
10,8,120,7399,2015-08-31,93.7
10,8,120,7800,2015-09-07,98.7
10,8,120,7900,2015-09-14,100.0
10,8,120,7900,2015-09-21,100.0
10,8,120,7900,2015-09-28,100.0
10,8,120,7900,2015-10-05,100.0
10,8,120,7900,2015-10-12,100.0
10,8,120,7900,2015-10-19,100.0
10,8,120,7900,2015-10-26,100.0
12,8,120,80,2016-06-20,0.8
12,8,120,252,2016-06-27,2.4
12,8,120,959,2016-07-04,9.1
12,8,120,1878,2016-07-11,17.8
12,8,120,2982,2016-07-18,28.2
12,8,120,4172,2016-07-25,39.4
12,8,120,5251,2016-08-01,49.6
12,8,120,6175,2016-08-08,58.4
12,8,120,7012,2016-08-15,66.3
12,8,120,7514,2016-08-22,71.0
12,8,120,9082,2016-08-29,85.9
12,8,120,9907,2016-09-05,93.7
12,8,120,10369,2016-09-12,98.0
12,8,120,10567,2016-09-19,99.9
12,8,120,10577,2016-09-26,100.0
12,8,120,10577,2016-10-03,100.0
14,8,120,67,2017-07-10,0.6
14,8,120,540,2017-07-17,4.8
14,8,120,1654,2017-07-24,14.6
14,8,120,4781,2017-07-31,42.3
14,8,120,7608,2017-08-07,67.4
14,8,120,9571,2017-08-14,84.8
14,8,120,9613,2017-08-21,85.1
